Date,BP,JNUG,TSLA
2016-07-13,-6.9009421950598115,263.6744464392571,-17.313765558238792
2016-07-14,-6.9009421950598115,260.9096349491315,-17.68530559167739
2016-07-15,-6.9009421950598115,241.44823459006508,-18.112576630131795
2016-07-18,-7.894066717596104,240.8138839018544,-15.939067434515962
2016-07-19,-8.250572956455294,218.4440454817467,-16.310607467954576
2016-07-20,-8.428826075884889,146.39138240574448,-15.1588333642949
2016-07-21,-8.734402852049893,182.80071813285392,-18.07542262678794
2016-07-22,-8.658008658008654,173.99162178336258,-17.425227568270387
2016-07-25,-11.128087598675817,136.74446439257872,-14.54579230912122
2016-07-26,-11.917494270435425,162.26211849192035,-14.73156232584052
2016-07-27,-11.968423733129596,205.36205864751574,-15.10310235927912
2016-07-28,-13.44537815126049,211.09515260323084,-14.322868289058055
2016-07-29,-12.401324166030037,249.08438061041207,-12.762400148615916
2016-08-01,-15.508021390374328,266.9419509275874,-14.545792309121207
2016-08-02,-14.820473644003041,265.050867743865,-15.586104402749301
2016-08-03,-15.940921823274767,257.0795930580482,-16.106260449563347
2016-08-04,-15.966386554621847,271.6696588868932,-14.322868289058055
2016-08-05,-15.58441558441559,233.17773788150726,-14.527215307449293
2016-08-08,-15.533486121721419,250.12567324955032,-15.97622143785985
2016-08-09,-14.998726763432636,259.94015559545096,-14.880178339215966
2016-08-10,-15.940921823274767,278.1807301017345,-16.161991454579137
2016-08-11,-14.33664374840845,266.49910233393086,-16.440646479658096
2016-08-12,-14.081996434937594,267.5284260921594,-16.180568456251066
2016-08-15,-13.750954927425518,266.36744464392484,-16.180568456251066
2016-08-16,-12.885154061624638,270.95152603231503,-16.923648523128275
2016-08-17,-12.910618792971718,258.51585876720435,-17.053687534831784
2016-08-18,-11.764705882352933,279.1861160981438,-16.96080252647212
2016-08-19,-12.579577285459631,243.9497307001786,-16.40349247631422
2016-08-22,-13.521772345301752,220.7660083782158,-17.165149544863358
2016-08-23,-13.088871912401313,199.72471573907757,-16.45922348133002
2016-08-24,-12.732365673542134,128.47396768402092,-17.295188556566863
2016-08-25,-12.859689330277568,151.2268102932369,-17.908229611740566
2016-08-26,-13.01247771836007,144.8833034111304,-18.26119264350724
2016-08-29,-12.808759867583374,146.5589467384793,-20.044584804012544
2016-08-30,-13.165266106442552,106.82226211849138,-21.475013932751153
2016-08-31,-13.776419658772577,91.14302812686962,-21.23351291101607
2016-09-01,-14.285714285714269,117.47456612806646,-25.41333828720036
2016-09-02,-12.146676852559168,155.77498503889817,-26.509381385844232
2016-09-06,-11.662846956964568,206.88210652303928,-24.633104216979284
2016-09-07,-11.484593837534973,195.99042489527153,-25.060375255433677
2016-09-08,-10.669722434428275,179.23399162178262,-26.676574400891607
2016-09-09,-12.528647822765427,120.58647516457155,-27.754040497863553
2016-09-12,-11.81563534504706,150.1496110113698,-26.323611369124933
2016-09-13,-14.693149987267596,118.07301017354823,-27.159576444361775
2016-09-14,-15.151515151515104,120.58647516457155,-27.02953743265827
2016-09-15,-14.413037942449659,122.6211849192095,-25.543377298903856
2016-09-16,-15.176979882862184,107.66008378216583,-23.685677131710836
2016-09-19,-14.845938375350098,115.3201675643322,-23.332714099944152
2016-09-20,-15.788133435192208,116.15798922800664,-23.96433215678978
2016-09-21,-14.41303794244967,165.46977857570252,-23.759985138398555
2016-09-22,-12.75783040488918,152.4236983842005,-23.295560096600298
2016-09-23,-13.521772345301697,126.09216038300363,-22.924020063161688
2016-09-26,-14.234784823020064,117.83363255535555,-22.34813301133186
2016-09-27,-14.413037942449646,103.35128665469728,-23.5370611183354
2016-09-28,-11.280875986758277,120.94554159186059,-23.369868103288027
2016-09-29,-10.720651897122412,115.43985637342851,-25.431915288872275
2016-09-30,-10.466004583651578,108.6175942549366,-24.187256176852955
2016-10-03,-9.67659791189196,97.72591262716884,-20.601894854170432
2016-10-04,-9.141838553603188,36.20586475164536,-21.456436931079224
2016-10-05,-8.250572956455226,35.846798324356314,-22.55248002972311
2016-10-06,-8.454290807231901,18.850987432674728,-25.320453278840695
2016-10-07,-7.894066717596049,24.596050269299496,-26.95522942597055
2016-10-10,-6.620830150241829,29.622980251346178,-25.33903028051263
2016-10-11,-8.887191240132331,17.05565529622952,-25.65483930893544
2016-10-12,-8.86172650878525,25.314183123877633,-25.134683262121406
2016-10-13,-9.141838553603176,34.17115499700747,-25.59910830391966
2016-10-14,-8.734402852049827,23.877917414721427,-26.992383429314426
2016-10-17,-9.600203717850697,29.14422501496081,-27.939810514582863
2016-10-18,-8.37789661319066,47.93536804308764,-26.026379342374064
2016-10-19,-8.199643493761066,62.8964691801313,-24.37302619357228
2016-10-20,-8.199643493761066,60.62238180730066,-26.026379342374074
2016-10-21,-7.690348866819385,60.86175942549337,-25.65483930893546
2016-10-24,-8.658008658008598,48.65350089766576,-24.670258220323184
2016-10-25,-8.225108225108169,61.22082585278241,-24.81887423369862
2016-10-26,-8.708938120702769,49.251944943147485,-24.856028237042473
2016-10-27,-8.326967150496511,36.20586475164542,-24.205833178524927
2016-10-28,-9.14183855360321,35.487731897067334,-25.710570313951266
2016-10-31,-9.472880061115308,45.54159186116067,-26.527958387516204
2016-11-01,-13.13980137509545,60.74207061639703,-29.1101616199145
2016-11-02,-13.394448688566296,52.244165170556236,-30.15047371354258
2016-11-03,-13.827349121466714,63.97366846199846,-30.373397733605746
2016-11-04,-14.591291061879252,55.475763016157664,-29.203046628274144
2016-11-07,-13.368983957219193,36.32555356074179,-28.218465539661842
2016-11-08,-14.744079449961756,30.819868342309718,-27.568270481144285
2016-11-09,-13.827349121466703,39.31777378815053,-29.388816644993454
2016-11-10,-13.57270180799588,9.036505086774183,-31.135054802154883
2016-11-11,-15.508021390374282,-17.414721723519012,-29.946126695151353
2016-11-14,-16.017316017315974,-12.866546977857741,-32.58406093256544
2016-11-15,-14.413037942449646,0.5385996409333682,-31.729518855656647
2016-11-16,-15.202444614209265,-8.916816277678219,-31.655210848968927
2016-11-17,-14.693149987267573,-16.69658886894092,-29.9089726918075
2016-11-18,-14.336643748408385,-17.414721723519012,-31.265093813858403
2016-11-21,-12.401324166029982,-12.507480550568694,-31.450863830577713
2016-11-22,-12.044817927170804,-8.43806104129281,-28.980122608211
2016-11-23,-12.401324166029982,-23.040095751047417,-28.23704254133379
2016-11-25,-12.732365673542068,-23.399162178336464,-26.93665242429868
2016-11-28,-14.13292589763172,-14.063435068821228,-27.140999442689907
2016-11-29,-14.642220524573391,-15.38001196888107,-29.574586661712765
2016-11-30,-10.847975553857836,-19.92818671454234,-29.630317666728544
2016-12-01,-9.880315762668623,-21.005385996409487,-32.41686791751807
2016-12-02,-9.651133180544868,-12.507480550568683,-32.58406093256544
2016-12-05,-9.651133180544868,-11.430281268701547,-30.59632175366892
2016-12-06,-9.421950598421102,-12.387791741472343,-30.949284785435594
2016-12-07,-8.607079195314405,-8.677438659485514,-28.23704254133379
2016-12-08,-7.8431372549018885,-8.43806104129281,-28.55285156975661
2016-12-09,-8.30150241914941,-22.202274087372974,-28.590005573100473
2016-12-12,-7.02826585179519,-22.082585278276635,-28.49712056474082
2016-12-13,-6.315253374076823,-20.885697187313134,-26.37934237414078
2016-12-14,-8.276037687802306,-35.48773189706774,-26.17499535574955
2016-12-15,-8.708938120702737,-47.09754637941362,-26.583689392532005
2016-12-16,-6.824548001018494,-49.49132256134061,-24.76314322868285
2016-12-19,-6.900942195059745,-49.25194494314792,-24.670258220323205
2016-12-20,-7.002801120448076,-48.77318970676252,-22.422441018019658
2016-12-21,-6.340718105423893,-50.56852184320776,-22.83113505480212
2016-12-22,-6.009676597911806,-50.44883303411141,-22.552480029723164
2016-12-23,-5.729564553093869,-48.53381208856982,-20.73193386587401
2016-12-27,-5.500381970970114,-42.78874925194505,-18.428385658554667
2016-12-28,-5.143875732110937,-37.28306403351297,-18.35407765186693
